id,group,type,start_year,start_month,start_day,end_year,end_month,end_day,label,title,className,subgroup,label_min_years
adamic_anchor_adam,"Human Moral History — Anchors (Adamic)","point",-4026,,,,,,"Adam","Adam — Beginning of Man; start of human moral history","adamic","",4000
adamic_anchor_flood,"Human Moral History — Anchors (Adamic)","point",-2370,,,,,,"Flood","Flood begins (Genesis 7:11)","flood","",4000
adamic_anchor_abraham,"Human Moral History — Anchors (Adamic)","point",-2018,,,,,,"Abraham","Abraham born","abraham","",4000
adamic_anchor_exodus,"Human Moral History — Anchors (Adamic)","point",-1513,,,,,,"Exodus","Exodus (Israel leaves Egypt)","exodus","",4000
adamic_anchor_jerusalem,"Human Moral History — Anchors (Adamic)","point",-607,,,,,,"Jerusalem","Jerusalem destroyed (JW anchor)","jerusalem","",4000
adamic_anchor_jesus_baptized,"Human Moral History — Anchors (Adamic)","point",29,,,,,,"Baptism","Jesus baptized","jesus","",4000
adamic_anchor_jesus_dies,"Human Moral History — Anchors (Adamic)","point",33,,,,,,"Crucifixion","Jesus dies","jesus","",4000
